# r=4.000000e+02
# M=2.728000e+00
#  J_orb:0 E_b:1 u/M:2 E_rad:3 J_rad:4 t:5
3.968587031760690387e+00 -3.708615390234162174e-02 3.483973003656742407e+01 2.927569613968430224e-04 1.645970175736175684e-02 5.183999999999999773e+02
3.968381021378657003e+00 -3.709191085698287232e-02 3.601275056442667477e+01 2.966832044621162427e-04 1.684298324909308184e-02 5.216000000000000227e+02
3.968175751558523867e+00 -3.709762080841797621e-02 3.718577109228588995e+01 3.005773913405707402e-04 1.722488692837164867e-02 5.247999999999999545e+02
3.967970991290654226e+00 -3.710329053793864906e-02 3.835879162014514066e+01 3.044441468737049445e-04 1.760584258770144656e-02 5.280000000000000000e+02
3.967766436061295199e+00 -3.710893180964192073e-02 3.953181214800439847e+01 3.082914941755401494e-04 1.798641677370308584e-02 5.312000000000000455e+02
3.967561820629513569e+00 -3.711455493792620297e-02 4.070483267586360654e+01 3.121264676651000318e-04 1.836710296607149337e-02 5.343999999999999773e+02
3.967356995986730972e+00 -3.712016388208056600e-02 4.187785320372286435e+01 3.159517675787587706e-04 1.874817839467005781e-02 5.376000000000000227e+02
3.967151937981921339e+00 -3.712575559627813437e-02 4.305087373158207242e+01 3.197653166615202058e-04 1.912968799238632181e-02 5.407999999999999545e+02
3.966946706041594162e+00 -3.713132272968603514e-02 4.422389425944133023e+01 3.235621016455566667e-04 1.951152119643704760e-02 5.440000000000000000e+02
3.966741385122675378e+00 -3.713685728488206467e-02 4.539691478730058094e+01 3.273366682891584527e-04 1.989351994480119748e-02 5.472000000000000455e+02
3.966536029328219914e+00 -3.714235377140442246e-02 4.656993531515979612e+01 3.310852720975021959e-04 2.027558357896283928e-02 5.503999999999999773e+02
3.966330615102108048e+00 -3.714781149459797649e-02 4.774295584301904682e+01 3.348074393155869551e-04 2.065775592498700700e-02 5.536000000000000227e+02
3.966125019885641034e+00 -3.715323544106100689e-02 4.891597637087826200e+01 3.385065708033761648e-04 2.104026500284337034e-02 5.567999999999999545e+02
3.965919043692567314e+00 -3.715863497327628884e-02 5.008899689873751271e+01 3.421890517741646670e-04 2.142348288615223556e-02 5.600000000000000000e+02
3.965712471210349310e+00 -3.716402042242320652e-02 5.126201742659677052e+01 3.458619280921800812e-04 2.180781016302869163e-02 5.632000000000000455e+02
3.965505148611130792e+00 -3.716939895598959237e-02 5.243503795445598570e+01 3.495300879845229564e-04 2.219353302958494700e-02 5.663999999999999773e+02
3.965297037148403980e+00 -3.717477179419196448e-02 5.360805848231523640e+01 3.531943636384457237e-04 2.258072357354242929e-02 5.696000000000000227e+02
3.965088211600609203e+00 -3.718013447410369737e-02 5.478107901017445158e+01 3.568517113385260490e-04 2.296924266991182129e-02 5.727999999999999545e+02
3.964878803136393071e+00 -3.718548017290618235e-02 5.595409953803370229e+01 3.604974779215480273e-04 2.335884627995200857e-02 5.760000000000000000e+02
3.964668922538415519e+00 -3.719080409246554308e-02 5.712712006589296010e+01 3.641283910612390221e-04 2.374932829296618961e-02 5.792000000000000455e+02
3.964458600628235629e+00 -3.719610663226347036e-02 5.830014059375216817e+01 3.677447232034892089e-04 2.414063136556840808e-02 5.823999999999999773e+02
3.964247758259725085e+00 -3.720139449273033444e-02 5.947316112161142598e+01 3.713510440418382806e-04 2.453290274881294100e-02 5.856000000000000227e+02
